#fixed size
#number of processes  time  
#1 0.172928
#2 0.0211688 0.0212224
#3 0.0162268 0.0165465 0.0165356
#4 0.0143188 0.0150326 0.01493 0.0154141
#5 0.0163319 0.0164164 0.0165765 0.0165902 0.0170885
#6 0.0119899 0.0120456 0.0124475 0.012439 0.0129124 0.0140024



#Nx Ny sequential_time 2_proc_time 4_proc_time product 
#30 6 0.040214 0.00585236 0.00445271 180
#30 20 0.121491 0.0124876 0.0117131 600
#30 30 0.176627 0.0216144 0.0130755 900
#60 30 0.354682 0.0409697 0.031331 1800
#100 20 0.385176 0.0643578 0.0463098 2000
#60 60 0.682487 0.0798376 0.0658406 2400
100 50 0.99973 0.141899 0.110824 5000
#100 80 1.50175 0.237377 0.193087 8000
#200 100 3.74442 1.03278 0.54723 20000
"300 200 11.7741 4.96596 3.32614 60000



#Nx 200 Ny 100 tf 1 dt 0.1 (tf=2) # à corriger

#nproc  time(real) user sys 
1 1.8896
2 1,522 2,266 0,178
4 1,036 2,683 0,191
8 1,067 4,237 1,162
12 1,449 5,114 2,814
20 1,738 6,621 3,724
25 1,990 7,284 4,579
40 2,689 10,832 6,705



# Nx 100 Ny 50 

#nproc time(real) user sys 
1 0.571111
2 0,552 0,402 0,092
4 0,504 0,560 0,097
8 0,762 1,124 1,036
12 0,876 1,542 1,288
20 1,674 3,310 3,299
25 2,196 4,922 4,922
40 2,423 6,003 5,381


#Nx 300 Ny 200

#nproc time(real) user sys 
1 6.09562
2 7,356 13,633 0,314
4 3,556 12,431 0,390
8 4,588 22,125 8,369
12 6,577 28,070 16,752
20 8,214 34,707 21,185
25 7,697 33,320 20,292
40 11,129 45,569 30,197
